,Tasks,Horas Planeadas,Horas con error est,Planned Value,Accumulated Planned Value,Actual Time,Earned Value,Accumulated Earned Value,Planned Finished Date*,Actual Finished Date
US19,Modelo receta inventario,"0,25","0,53","0,18%","0,18%","0,12","0,18%","0,18%","1,00","3,00"
,View lista receta inventario,"1,00","2,10","0,70%","0,88%","0,66","0,70%","0,88%","4,00","4,00"
,View agregar paquete_inventario,"1,00","2,10","0,70%","1,58%","1,55","0,70%","1,58%","5,00","5,00"
,View terminar orden de trabajo,"3,00","6,30","2,11%","3,69%","4,79","2,11%","3,69%","5,00","12,00"
,View detalle recetas_inventario,"2,00","4,20","1,41%","5,09%","2,67","1,41%","5,09%","7,00","6,00"
,View editar paquete_inventario,"3,00","6,30","2,11%","7,20%","1,53","2,11%","7,20%","7,00","8,00"
,View eliminar paquete_inventario,"3,00","6,30","2,11%","9,31%","0,36","2,11%","9,31%","7,00","10,00"
,Template Lista receta_inventario,"1,00","2,10","0,70%","10,01%","0,28","0,70%","10,01%","8,00","6,00"
,Template detalle recetas_inventario,"0,50","1,05","0,35%","10,36%","0,22","0,35%","10,36%","8,00","6,00"
,Testing lista receta_inventario,"0,50","1,05","0,35%","10,72%","0,47","0,35%","10,72%","8,00","11,00"
,Testing agregar paquete_inventario,"1,50","3,15","1,05%","11,77%","1,18","1,05%","11,77%","8,00","7,00"
,Testing terminar orden de trabajo,"1,50","3,15","1,05%","12,82%","3,99","1,05%","12,82%","8,00","14,00"
,Testing detalle recetas inventario,"1,50","3,15","1,05%","13,88%","1,42","1,05%","13,88%","8,00","12,00"
,Testing editar paquete_inventario,"1,50","3,15","1,05%","14,93%","2,99","1,05%","14,93%","8,00","9,00"
,Testing eliminar paquete_inventario,"1,50","3,15","1,05%","15,99%","0,66","1,05%","15,99%","8,00","10,00"
US1,Modelo proveedor,"0,50","1,05","0,35%","16,34%","0,50","0,35%","16,34%","1,00","1,00"
,View lista_proveedores,"1,00","2,10","0,70%","17,04%","0,23","0,70%","17,04%","2,00","2,00"
,View agregar_proveedores,"1,50","3,15","1,05%","18,09%","0,70","1,05%","18,09%","2,00","2,00"
,Tempalte lista_proveedores,"1,00","2,10","0,70%","18,80%","0,88","0,70%","18,80%","2,00","2,00"
,Template agregar_proveedores,"1,00","2,10","0,70%","19,50%","0,92","0,70%","19,50%","2,00","2,00"
,Testing lista_provedorees y agregar_proveedor,"2,50","5,25","1,76%","21,26%","1,30","1,76%","21,26%","4,00","4,00"
US54,Modelo Unidad,"0,20","0,42","0,14%","21,40%","0,13","0,14%","21,40%","4,00","4,00"
,View lista_unidades,"0,50","1,05","0,35%","21,75%","0,29","0,35%","21,75%","8,00","4,00"
,Template lista_unidades,"0,50","1,05","0,35%","22,10%","1,09","0,35%","22,10%","8,00","9,00"
,View agregar_unidades,"0,75","1,58","0,53%","22,63%","2,13","0,53%","22,63%","8,00","7,00"
,Template agregar_unidades,"0,50","1,05","0,35%","22,98%","1,55","0,35%","22,98%","8,00","7,00"
,"Testing lista_unidades, agregar_unidades","1,00","2,10","0,70%","23,68%","0,26","0,70%","23,68%","8,00","9,00"
US11,View agregar materia_prima,"2,00","4,20","1,41%","25,09%","1,74","1,41%","25,09%","8,00","4,00"
,Template agregar materia_prima,"1,00","2,10","0,70%","25,79%","0,70","0,70%","25,79%","4,00","4,00"
,Modelo materia_prima,"0,50","1,05","0,35%","26,14%","0,23","0,35%","26,14%","4,00","7,00"
,Template agregar materia_prima,"1,00","2,10","0,70%","26,84%","0,51","0,70%","26,49%","8,00","4,00"
,Testing lista materia prima y testing agregar materia prima,"2,50","5,25","1,76%","28,60%","2,22","1,76%","28,25%","9,00","9,00"
US7,Modelo materia_prima_inventario,"0,75","1,58","0,53%","29,13%","0,21","0,53%","28,78%","9,00","5,00"
,Modelo compra,"0,50","1,05","0,35%","29,48%","0,13","0,35%","29,13%","9,00","3,00"
,View lista materia_prima_inventario,"1,00","2,10","0,70%","30,18%","1,20","0,70%","29,83%","9,00","4,00"
,View agregar compra (con materias primas),"2,50","5,25","1,76%","31,94%","6,27","1,76%","31,59%","9,00","13,00"
,Template lista materia_prima_inventario,"1,00","2,10","0,70%","32,64%","0,62","0,70%","32,29%","9,00","4,00"
,Template agregar compra (con materias primas),"1,00","2,10","0,70%","33,34%","3,38","0,70%","32,99%","9,00","11,00"
,"Testing  lista materia_prima_inventario, y agregar compra (con materias primas)","2,50","5,25","1,76%","35,10%","2,00","1,76%","34,75%","9,00","14,00"
US39,Modelo Cliente,"0,50","1,05","0,35%","35,45%","0,41","0,35%","35,10%","2,00","2,00"
,View lista_cliente,"1,00","2,10","0,70%","36,15%","0,83","0,70%","35,80%","2,00","2,00"
,View agregar_cliente,"1,00","2,10","0,70%","36,86%","0,84","0,70%","36,50%","9,00","1,00"
,Template lista_clientes,"1,00","2,10","0,70%","37,56%","0,48","0,70%","37,21%","9,00","3,00"
,Template agregar_cliente,"1,00","2,10","0,70%","38,26%","1,04","0,70%","37,91%","2,00","2,00"
,"Testing lista_clientes, agregar_clientes","2,50","5,25","1,76%","40,02%","0,80","1,76%","39,67%","10,00","7,00"
US36,Modelo Venta,"0,50","1,05","0,35%","40,37%","0,68","0,35%","40,02%","10,00","9,00"
,Modelo Catalogo paquetes por venta ,"0,75","1,58","0,53%","40,90%","0,11","0,53%","40,55%","10,00","11,00"
,View lista ventas,"1,00","2,10","0,70%","41,60%","0,15","0,70%","41,25%","10,00","9,00"
,View agregar venta,"4,50","9,45","3,16%","44,76%","2,69","3,16%","44,41%","10,00","14,00"
,View detalle venta ,"1,50","3,15","1,05%","45,82%","0,99","1,05%","45,46%","10,00","10,00"
,Template lista venta,"1,00","2,10","0,70%","46,52%","0,23","0,70%","46,17%","10,00","9,00"
,Template agregar venta,"1,00","2,10","0,70%","47,22%","4,79","0,70%","46,87%","10,00","14,00"
,Template detalle venta ,"1,50","3,15","1,05%","48,27%","0,23","1,05%","47,92%","10,00","9,00"
,Testing,"4,00","8,40","2,81%","51,09%","1,67","2,81%","50,73%","10,00","14,00"
US14,View lista materia prima,"1,00","2,10","0,70%","51,79%","1,80","0,70%","51,44%","10,00","8,00"
,View detalle de materias primas,"1,00","2,10","0,70%","52,49%","1,10","0,70%","52,14%","11,00","8,00"
,Template lista materia primas,"1,00","2,10","0,70%","53,19%","0,36","0,70%","52,84%","11,00","8,00"
,Template detalle materias primas,"1,00","2,10","0,70%","53,90%","0,21","0,70%","53,55%","11,00","8,00"
,Testing,"2,50","5,25","1,76%","55,65%","2,18","1,76%","55,30%","11,00","11,00"
US40,View modificar cliente,"1,50","3,15","1,05%","56,71%","0,10","1,05%","56,36%","11,00","1,00"
,Template modificar cliente,"1,00","2,10","0,70%","57,41%","0,62","0,70%","57,06%","11,00","1,00"
,Testing,"1,50","3,15","1,05%","58,46%","1,46","1,05%","58,11%","11,00","7,00"
US10,View Lista Compras,"1,00","2,10","0,70%","59,17%","0,27","0,70%","58,82%","11,00","11,00"
,View detalle de compra,"2,00","4,20","1,41%","60,57%","0,27","1,41%","60,22%","11,00","11,00"
,Template lista de compras,"1,00","2,10","0,70%","61,27%","0,41","0,70%","60,92%","11,00","11,00"
,Template detalle de compra,"1,00","2,10","0,70%","61,98%","0,26","0,70%","61,63%","11,00","11,00"
,Testin lista compras y detalle de compra,"2,50","5,25","1,76%","63,73%","2,19","1,76%","63,38%","11,00","13,00"
US55,View modificar_unidad,"0,75","1,58","0,53%","64,26%","0,60","0,53%","63,91%","12,00","12,00"
,Template modificar unidad,"0,50","1,05","0,35%","64,61%","0,33","0,35%","64,26%","12,00","12,00"
,Test modificar unidad,"1,00","2,10","0,70%","65,32%","1,20","0,70%","64,96%","12,00","12,00"
,Cambiar l贸gica recetas  (template),"0,50","1,05","0,35%","65,67%",,"0,00%","64,96%","12,00",
US 46,View iniciar sesi贸n,"3,00","6,30","2,11%","67,77%","1,08","2,11%","67,07%","4,00","4,00"
,Agregar a todas las views del sistema si tiene permiso ono el usuario,"1,00","2,10","0,70%","68,48%","0,26","0,70%","67,77%","3,00","3,00"
,Template iniciar sesi贸n,"0,75","1,58","0,53%","69,00%","1,03","0,53%","68,30%","2,00","2,00"
,Agregar el inicio de sesi贸n en todos los tests del sistema,"3,00","6,30","2,11%","71,11%","1,76","2,11%","70,41%","4,00","4,00"
US20,Modelo merma_paquete,"0,75","1,58","0,53%","71,64%","0,07","0,53%","70,94%","12,00","11,00"
,Modelo merma_receta,"0,75","1,58","0,53%","72,17%","0,20","0,53%","71,46%","12,00","11,00"
,Modelo merma_materia_prima,"0,75","1,58","0,53%","72,69%","0,02","0,53%","71,99%","12,00","11,00"
,View merma_paquete,"2,50","5,25","1,76%","74,45%","1,19","1,76%","73,75%","12,00","12,00"
,View merma_receta,"2,50","5,25","1,76%","76,21%","0,12","1,76%","75,50%","12,00","12,00"
,View merma_materia_prima,"2,50","5,25","1,76%","77,96%","0,10","1,76%","77,26%","12,00","12,00"
,View lista_merma,"2,00","4,20","1,41%","79,37%","0,37","1,41%","78,67%","12,00","13,00"
,Template lista mermas,"2,00","4,20","1,41%","80,77%","0,28","1,41%","80,07%","13,00","14,00"
,Template merma paquete,"1,50","3,15","1,05%","81,83%","2,69","1,05%","81,13%","13,00","14,00"
,Template merma receta,"1,50","3,15","1,05%","82,88%","0,20","1,05%","82,18%","13,00","14,00"
,Template merma materia,"1,50","3,15","1,05%","83,94%","0,06","1,05%","83,23%","13,00","14,00"
,Test merma paquete,"2,00","4,20","1,41%","85,34%",,"0,00%","83,23%","13,00",
,Test merma paquete,"2,00","4,20","1,41%","86,75%",,"0,00%","83,23%","13,00",
,Test merma materia prima,"2,00","4,20","1,41%","88,15%",,"0,00%","83,23%","13,00",
,Test lista merma,"2,00","4,20","1,41%","89,56%","1,61","1,41%","84,64%","13,00","14,00"
US12,View edita materia prima,"2,50","5,25","1,76%","91,31%","0,20","1,76%","86,40%","13,00","11,00"
,Template edita materia prima,"2,50","5,25","1,76%","93,07%","0,14","1,76%","88,15%","14,00","11,00"
,Test edita materia prima,"2,50","5,25","1,76%","94,83%","1,10","1,76%","89,91%","14,00","12,00"
US56,View elimina unidad,"1,00","2,10","0,70%","95,53%","1,30","0,70%","90,61%","14,00","12,00"
,Template elimina unidad,"0,20","0,42","0,14%","95,67%","0,17","0,14%","90,75%","14,00","12,00"
,Test elimina unidad,"1,00","2,10","0,70%","96,37%","0,41","0,70%","91,46%",14,14
US34,View lista costo,"2,50","5,25","1,76%","98,13%",,"0,00%","91,46%","14,00",
,Template costo,"2,66","5,59","1,87%","100,00%",,"0,00%","91,46%","14,00",
,,,,"100,00%",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,Horas totales:,,,,
,,,,,,"95,70",,,,
,,,,,,Porcentaje Terminado -->,"91,81%",,,
,,"142,31",,"200,00%",,Porcentaje a hoy planeado,,,,
,,,,,,"95,70",,,,