User Story,Número de US,Tasks,Horas Planeadas,Acumulado de Horas Planeadas,Horas Reales,Acumulado de Horas Reales,
Como administrativo quiero consultar el inventario de productos terminados para ver mi lista de productos y saber más información de ellas.,US19,Modelo receta inventario,"0,25","22,75","0,117","22,887",
,,View lista receta inventario,"1,00",,"0,660",,
,,View agregar paquete_inventario,"1,00",,"1,546",,
,,View terminar orden de trabajo,"3,00",,"4,790",,
,,View detalle recetas_inventario,"2,00",,"2,670",,
,,View editar paquete_inventario,"3,00",,"1,529",,
,,View eliminar paquete_inventario,"3,00",,"0,355",,
,,Template Lista receta_inventario,"1,00",,"0,280",,
,,Template detalle recetas_inventario,"0,5",,"0,220",,
,,Testing lista receta_inventario,"0,50",,"0,473",,
,,Testing agregar paquete_inventario,"1,50",,"1,179",,
,,Testing terminar orden de trabajo,"1,50",,"3,994",,
,,Testing detalle recetas inventario,"1,50",,"1,422",,
,,Testing editar paquete_inventario,"1,50",,"2,991",,
,,Testing eliminar paquete_inventario,"1,50",,"0,661",,
Como administrativo quiero poder agregar un proveedor para tener un registro de ellos,US1,Modelo proveedor,"0,50","7,50","0,500","1,433",
,,View lista_proveedores,"1,00",,"0,234",,
,,View agregar_proveedores,"1,50",,"0,699",,
,,Tempalte lista_proveedores,"1,00",,"0,884",,
,,Template agregar_proveedores,"1,00",,"0,917",,
,,Testing lista_provedorees y agregar_proveedor,"2,50",,"1,295",,
Como administrativo quiero agregar unidades al catálogo de unidades para estandarizar las unidades que usamos,US54,Modelo Unidad,"0,20","3,45","0,130","5,441",
,,View lista_unidades,"0,50",,"0,285",,
,,Template lista_unidades,"0,50",,"1,085",,
,,View agregar_unidades,"0,75",,"2,133",,
,,Template agregar_unidades,"0,50",,"1,550",,
,,"Testing lista_unidades, agregar_unidades","1,00",,"0,258",,
Como administrativo quiero agregar una materia prima al catálogo de materias primas para llevar un registro de todas las materias primas que me proveen,US11,View agregar materia_prima,"2,00","7,00","1,740","5,393",
,,Template agregar materia_prima,"1,00",,"0,696",,
,,Modelo materia_prima,"0,50",,"0,230",,
,,Template agregar materia_prima,"1,00",,"0,507",,
,,Testing lista materia prima y testing agregar materia prima,"2,50",,"2,220",,
Como administrativo quiero añadir una compra para dar de alta las materias primas que adquirí,US7,Modelo materia_prima_inventario,"0,75","9,25","0,210","13,812",
,,Modelo compra,"0,50",,"0,132",,
,,View lista materia_prima_inventario,"1,00",,"1,200",,
,,View agregar compra (con materias primas),"2,50",,"6,267",,
,,Template lista materia_prima_inventario,"1,00",,"0,620",,
,,Template agregar compra (con materias primas),"1,00",,"3,383",,
,,"Testing  lista materia_prima_inventario, y agregar compra (con materias primas)","2,50",,"2,000",,
Como administratitivo quiero agregar un cliente para tener su información,US39,Modelo Cliente,"0,50","7,00","0,410","4,396",
,,View lista_cliente,"1,00",,"0,830",,
,,View agregar_cliente,"1,00",,"0,840",,
,,Template lista_clientes,"1,00",,"0,483",,
,,Template agregar_cliente,"1,00",,"1,038",,
,,"Testing lista_clientes, agregar_clientes","2,50",,"0,795",,
Como administrativo quiero generar una venta para tener un control sobre mis ventas,US36,Modelo Venta,"0,50","15,75","0,677","11,531",
,,Modelo Catalogo paquetes por venta ,"0,75",,"0,113",,
,,View lista ventas,"1,00",,"0,152",,
,,View agregar venta,"4,50",,"2,689",,
,,View detalle venta ,"1,50",,"0,987",,
,,Template lista venta,"1,00",,"0,227",,
,,Template agregar venta,"1,00",,"4,791",,
,,Template detalle venta ,"1,50",,"0,227",,
,,Testing,"4,00",,"1,668",,
Como administrativo quiero consultar el catálogo de materias primas,US14,View lista materia prima,"1,00","6,50","1,800","5,748",
,,View detalle de materias primas,"1,00",,"1,100",,
,,Template lista materia primas,"1,00",,"0,360",,
,,Template detalle materias primas,"1,00",,"0,210",,
,,Testing,"2,50",,"2,175",,
Como administrativo quiero modificar la información de  cun cliente,US40,View modificar cliente,"1,50","4,00","0,103","3,288",
,,Template modificar cliente,"1,00",,"0,616",,
,,Testing,"1,50",,"1,462",,
Como administrativo quiero consultar el reporte de entradas,US10,View Lista Compras,"1,00","7,50","0,267","3,398",
,,View detalle de compra,"2,00",,"0,267",,
,,Template lista de compras,"1,00",,"0,412",,
,,Template detalle de compra,"1,00",,"0,264",,
,,Testin lista compras y detalle de compra,"2,50",,"2,188",,
Como administrativo quiero modificar unidades del catálogo de unidades,US55,View modificar_unidad,"0,75","2,75","0,602","2,129",
,,Template modificar unidad,"0,50",,"0,331",,
,,Test modificar unidad,"1,00",,"1,196",,
,,Cambiar lógica recetas  (template),"0,50",,,,
Como usuario registrado quiero iniciar sesión,US 46,View iniciar sesión,"3,00","7,75","1,080","4,128",
,,Agregar a todas las views del sistema si tiene permiso ono el usuario,"1,00",,"0,255",,
,,Template iniciar sesión,"0,75",,"1,029",,
,,Agregar el inicio de sesión en todos los tests del sistema,"3,00",,"1,764",,
Como administrativo quiero agregar mermas de productos terminados,US20,Modelo merma_paquete,"0,75","26,25","0,071","6,912",
,,Modelo merma_receta,"0,75",,"0,202",,
,,Modelo merma_materia_prima,"0,75",,"0,023",,
,,View merma_paquete,"2,50",,"1,187",,
,,View merma_receta,"2,50",,"0,120",,
,,View merma_materia_prima,"2,50",,"0,100",,
,,View lista_merma,"2,00",,"0,371",,
,,Template lista mermas,"2,00",,"0,284",,
,,Template merma paquete,"1,50",,"2,685",,
,,Template merma receta,"1,50",,"0,202",,
,,Template merma materia,"1,50",,"0,061",,"3,66"
,,Test merma paquete,"2,00",,,,
,,Test merma paquete,"2,00",,,,
,,Test merma materia prima,"2,00",,,,
,,Test lista merma,"2,00",,"1,606",,
Como administrativo poder editar materia prima del catálogo de materias primas.,US12,View edita materia prima,"2,5","7,5","0,201","1,433",
,,Template edita materia prima,"2,5",,"0,137",,
,,Test edita materia prima,"2,5",,"1,095",,
Como administrativo quiero eliminar unidades del catálogo de unidades,US56,View elimina unidad,"1,00","2,20","1,300","1,880",
,,Template elimina unidad,"0,20",,"0,170",,
,,Test elimina unidad,"1,00",,"0,410",,
Como administratio quiero consultar el costo de un producto,US34,View lista costo,"2,50","5,16",,"0,000",
,,Template costo,"2,66",,,,
,,,,,,,
,,,,,,,
,,estimado,"142,31",real,"95,695",,